project,#cmt+pr+bi,#cmt+pr-bi,#cmt-pr+bi,#cmt-pr-bi,buggy_ratio+pr,buggy_ratio-pr
commons-beanutils,0,0,64,705,,8.322496749024708
commons-bcel,0,2,87,915,0.0,8.682634730538922
commons-codec,0,0,86,1046,,7.597173144876325
commons-io,5,159,110,1206,3.048780487804878,8.358662613981762
commons-dbcp,0,2,174,1176,0.0,12.88888888888889
commons-digester,0,0,39,1521,,2.5
commons-jcs,0,0,193,775,,19.93801652892562
commons-compress,15,131,199,1686,10.273972602739725,10.557029177718832
opennlp,9,60,214,1682,13.043478260869565,11.286919831223628
ant-ivy,2,42,415,1605,4.545454545454546,20.544554455445542
giraph,27,178,229,476,13.170731707317074,32.4822695035461
gora,10,264,65,456,3.64963503649635,12.476007677543185
calcite,21,31,824,1357,40.38461538461539,37.780834479596514
commons-configuration,0,1,201,2337,0.0,7.919621749408984
commons-net,0,0,156,1316,,10.597826086956522
commons-collections,0,0,149,2277,,6.141797197032152
commons-vfs,0,2,169,1257,0.0,11.85133239831697
mahout,3,128,632,1989,2.2900763358778624,24.11293399465853
commons-validator,0,0,59,2059,,2.785646836638338
parquet-mr,10,71,191,1543,12.345679012345679,11.014994232987313
nutch,104,677,327,1174,13.316261203585148,21.7854763491006
deltaspike,2,12,281,1346,14.285714285714285,17.27105101413645
knox,2,14,363,1035,12.5,25.9656652360515
eagle,43,94,150,600,31.386861313868614,20.0
lens,0,14,394,1475,0.0,21.080791867308722
wss4j,0,0,412,2334,,15.003641660597234
cayenne,43,325,796,3712,11.684782608695652,17.657497781721386
commons-lang,18,306,307,3673,5.555555555555555,7.71356783919598
tika,40,430,673,2305,8.51063829787234,22.59905977165883
santuario-java,11,156,196,1935,6.58682634730539,9.197559831065227
archiva,4,28,703,5009,12.5,12.307422969187677
manifoldcf,55,307,643,2478,15.193370165745856,20.602371034924705
commons-math,2,38,569,5251,5.0,9.776632302405499
falcon,5,83,465,1444,5.681818181818182,24.35830277632268
zeppelin,217,1025,371,1479,17.47181964573269,20.054054054054056
flume,154,561,316,697,21.53846153846154,31.19447186574531
commons-imaging,1,0,61,755,100.0,7.4754901960784315
systemml,0,0,786,3543,,18.15661815661816
directory-fortress-core,2,11,163,700,15.384615384615385,18.88760139049826
pig,308,845,770,1885,26.712922810060714,29.001883239171374
struts,94,891,517,2384,9.543147208121827,17.821440882454326
kafka,444,2882,496,2086,13.349368610944076,19.209914794732764
tez,58,352,860,1779,14.146341463414632,32.58810155361879
jspwiki,0,0,475,5340,,8.16852966466036
streams,98,680,60,555,12.596401028277635,9.75609756097561
samza,38,367,267,975,9.382716049382717,21.497584541062803
ranger,76,281,927,1638,21.288515406162464,36.140350877192986
helix,49,771,149,2054,5.975609756097561,6.763504312301408
mina-sshd,3,8,502,878,27.27272727272727,36.3768115942029
httpcomponents-client,30,260,544,1979,10.344827586206897,21.56163297661514
nifi,383,1123,640,2215,25.431606905710492,22.416812609457093
httpcomponents-core,10,222,239,2563,4.310344827586207,8.529621698786581
roller,0,72,220,2382,0.0,8.455034588777863
storm,306,4277,72,2672,6.676849225398211,2.623906705539359
xerces2-j,0,0,317,5821,,5.16454871293581
kylin,94,936,1396,7502,9.12621359223301,15.688918858170375
oozie,4,71,702,1354,5.333333333333334,34.143968871595334
directory-kerby,1,7,257,1232,12.5,17.259905977165882
curator,90,886,108,1115,9.221311475409836,8.83074407195421
commons-scxml,3,9,88,548,25.0,13.836477987421384
xmlgraphics-batik,0,0,96,2391,,3.8600723763570564
commons-jexl,0,6,264,1634,0.0,13.909378292939936
freemarker,6,534,98,1855,1.1111111111111112,5.017921146953405
directory-studio,12,27,392,2823,30.76923076923077,12.192846034214618
cxf-fediz,4,43,78,1268,8.51063829787234,5.794947994056463
pdfbox,444,2151,1595,5170,17.109826589595375,23.577235772357724
openwebbeans,0,26,1229,1928,0.0,38.929363319607226
zookeeper,0,0,437,1576,,21.70889220069548
velocity-tools,0,0,37,1048,,3.410138248847926
maven-archetype,25,125,73,457,16.666666666666664,13.773584905660377
fineract,110,412,204,3600,21.0727969348659,5.3627760252365935
juddi,0,2,616,1031,0.0,37.4013357619915
karaf-cellar,1,33,441,878,2.941176470588235,33.434420015163
derby,0,0,1435,7589,,15.902039007092197
openjpa,2,14,1195,4104,12.5,22.551424797131535
maven-doxia,1,2,204,1037,33.33333333333333,16.43835616438356
maven-wagon,11,21,197,619,34.375,24.142156862745097
velocity-engine,0,14,439,2074,0.0,17.469160366096297
reef,5,20,136,3069,20.0,4.2433697347893915
maven-scm,34,173,236,1004,16.425120772946862,19.032258064516128
phoenix,502,1322,2626,5521,27.521929824561404,32.23272370197619
oodt,58,345,172,1069,14.392059553349876,13.859790491539082
maven-surefire,101,132,586,1245,43.34763948497854,32.004369197160024
airavata,169,871,939,4835,16.25,16.26255628680291
portals-pluto,29,87,293,1523,25.0,16.134361233480178
qpid-jms,0,4,321,1464,0.0,17.983193277310924
avro,45,432,166,1124,9.433962264150944,12.868217054263567
activemq,200,1380,2196,5805,12.658227848101266,27.44656917885264
uima-ducc,0,0,1103,2211,,33.283041641520825
sis,4,109,301,6602,3.5398230088495577,4.360423004490801
jena,128,1133,570,14503,10.15067406819984,3.7815962316725273
usergrid,34,2944,83,6189,1.1417058428475486,1.3233418367346939
