project,category,description
commons-rdf,"General Libraries & Utilities (Apache Commons)",RDF (Resource Description Framework) を扱うための共通Java API。
ant-ivy,"Build & Dependency Management",Antと連携して、プロジェクトの依存関係を管理するためのツール。
commons-math,"General Libraries & Utilities (Apache Commons)","数学・統計関連の計算を行うためのライブラリ。"
mahout,"Big Data - Processing & Analytics (ビッグデータ - 処理・分析)","機械学習のアルゴリズムを提供するライブラリ。クラスタリングや分類が主。"
opennlp,"Big Data - Processing & Analytics (ビッグデータ - 処理・分析)",自然言語処理 (NLP) のための機械学習ツールキット。
calcite,"Big Data - Processing & Analytics (ビッグデータ - 処理・分析)","動的なデータ管理システムを構築するための基盤ソフトウェア。SQLパーサーやオプティマイザーを提供。"
cayenne,"Database & Data Mapping (データベース & データマッピング)",JavaオブジェクトをリレーショナルデータベースにマッピングするO/Rマッピングフレームワーク。
archiva,"Build & Dependency Management","Mavenリポジトリの管理ツール。プロキシやミラーリング機能を持つ。"
bigtop,"Big Data - Data & Infrastructure (ビッグデータ - データ基盤)",Hadoopエコシステムのパッケージング、デプロイ、テストを容易にするためのプロジェクト。
commons-bcel,"General Libraries & Utilities (Apache Commons)",Javaのクラスファイルを操作（生成・解析）するためのライブラリ。
commons-beanutils,"General Libraries & Utilities (Apache Commons)",JavaBeansのプロパティを簡単に操作するためのユーティリティ。
commons-codec,"General Libraries & Utilities (Apache Commons)","Base64, Hex, 音声エンコーディングなど、様々なエンコード・デコード機能を提供。"
commons-collections,"General Libraries & Utilities (Apache Commons)",Java標準のコレクションAPIを拡張する、より高機能なコレクションクラスを提供。
commons-compress,"General Libraries & Utilities (Apache Commons)","tar, zip, bzip2など、様々な圧縮フォーマットを扱うためのライブラリ。"
commons-configuration,"General Libraries & Utilities (Apache Commons)","設定ファイル（プロパティファイル、XMLなど）を簡単に扱うためのライブラリ。"
commons-dbcp,"Database & Data Mapping (データベース & データマッピング)",データベース接続のプーリング機能を提供するライブラリ。
commons-digester,"General Libraries & Utilities (Apache Commons)",XMLをJavaオブジェクトにマッピングするためのライブラリ。
commons-io,"General Libraries & Utilities (Apache Commons)",ファイルI/Oに関する様々なユーティリティ機能を提供。
commons-jcs,"General Libraries & Utilities (Apache Commons)",Javaで利用できるキャッシュシステム。
