project,nc,nbfc,nbfc_a,nbfc_io,nbfc_v,nbfc_if,nbic,nbic_szz,nbic_jl+r,nbic_jlip+r,nbic_jlmiv,nbic_jlmiv+,nbic_jlmiv+av,nbic_jlmiv+rav,nbic_jlmiv+r
commons-rdf,1311,64,52,62,29,62,55,55,17,16,26,12,12,12,12
ant-ivy,3189,748,722,716,568,716,669,664,417,408,488,383,383,358,358
commons-math,7222,735,468,728,396,728,888,704,571,460,555,349,349,340,340
mahout,4167,839,833,715,328,715,1282,1281,635,509,552,387,387,370,370
opennlp,2685,391,391,353,144,353,462,462,223,165,172,118,118,112,112
calcite,2926,1170,1068,953,427,953,1561,1553,845,519,688,470,470,445,445
cayenne,6619,1888,1832,1274,850,1274,2067,2044,839,638,879,627,627,608,608
archiva,10261,1013,535,948,544,948,1294,881,707,570,899,561,561,542,542
bigtop,3298,1557,0,1557,0,1557,10,0,10,6,0,0,0,0,0
commons-bcel,1429,95,62,95,49,95,124,113,87,61,77,64,64,61,61
commons-beanutils,1341,124,87,119,59,119,121,106,64,62,57,42,42,39,39
commons-codec,1838,162,69,156,59,156,188,102,86,68,107,51,51,50,50
commons-collections,3380,181,35,180,88,180,213,80,149,108,100,62,62,60,60
commons-compress,2755,415,326,323,206,323,486,459,214,189,246,186,186,173,173
commons-configuration,3717,351,215,348,243,348,366,304,201,191,305,176,176,156,156
commons-dbcp,2205,207,119,192,106,192,275,218,174,110,138,79,79,76,76
commons-digester,2535,72,65,38,26,38,66,52,39,37,32,26,26,24,24
commons-io,2262,249,180,245,119,245,225,197,115,115,138,84,84,80,80
commons-jcs,1622,183,112,161,72,161,393,368,193,144,226,157,157,149,149
commons-lang,5792,565,346,542,242,542,581,435,325,284,302,191,191,188,188
commons-net,2270,257,218,252,176,252,256,244,156,141,183,136,136,130,130
commons-validator,3416,167,153,104,73,104,197,188,59,52,81,51,51,50,50
commons-vfs,2212,215,132,211,114,211,301,267,169,138,148,106,106,104,104
giraph,1121,386,384,361,141,361,427,427,256,177,189,156,156,152,152
gora,1329,224,170,212,102,212,224,214,75,58,89,51,51,49,49
parquet-mr,2249,464,419,291,120,291,777,777,201,146,182,139,139,132,132
wss4j,3734,463,432,389,248,389,633,615,412,288,302,238,238,218,218
kylin,12975,2057,1968,1959,1264,1959,2428,2380,1490,1077,1532,1077,1077,1035,1035
nutch,3532,1150,1013,983,549,983,1031,1021,431,391,427,320,320,310,310
tika,4933,1208,1058,1113,670,1113,1180,1151,713,583,694,482,482,458,458
deltaspike,2311,501,499,492,217,492,522,521,283,220,255,188,188,180,180
systemml,6196,614,449,587,304,587,1158,1091,786,571,632,541,541,509,509
lens,2418,579,576,503,276,503,712,709,394,311,516,334,334,323,323
knox,2069,924,908,872,348,872,767,766,365,250,374,224,224,213,213
jspwiki,8809,551,299,371,234,371,1112,650,475,433,614,359,359,352,352
manifoldcf,5936,1361,1171,1338,671,1338,1139,1060,698,610,638,547,547,532,532
eagle,1119,298,155,246,130,246,354,270,193,128,174,118,118,113,113
santuario-java,3376,162,152,152,97,152,307,276,207,181,162,119,119,109,109
kafka,6971,3480,3333,2740,0,2740,3349,3341,940,758,0,0,0,0,0
zeppelin,4735,2052,1907,1222,0,1222,2016,2008,588,473,0,0,0,0,0
struts,6080,1580,1457,1555,0,1555,1260,1245,611,0,0,0,0,0,0
pig,5064,3105,2962,2837,0,2837,2092,2081,1078,839,0,0,0,0,0
falcon,2550,1073,1038,980,316,980,891,891,470,402,380,302,302,291,291
