project,nc,fcd,lcd,nbfc,nbfc_a,nbfc_io,nbfc_v,nbfc_if,nbic,nbic_szz,nbic_jl+r,nbic_jlip+r,nbic_jlmiv,nbic_jlmiv+,nbic_jlmiv+av,nbic_jlmiv+rav,nbic_jlmiv+r
commons-rdf,1311,2014-06-06T07:52:20.000000,2018-06-16T21:49:37.000000,64,52,62,29,62,55,55,17,16,26,12,12,12,12
ant-ivy,3189,2005-06-16T11:18:39.000000,2018-02-09T03:47:56.000000,748,722,716,568,716,669,664,417,408,488,383,383,358,358
commons-math,7222,2003-05-12T15:07:54.000000,2018-02-15T10:05:50.000000,735,468,728,396,728,888,704,571,460,555,349,349,340,340
mahout,4167,2008-01-15T03:13:56.000000,2018-06-06T15:11:38.000000,839,833,715,328,715,1282,1281,635,509,552,387,387,370,370
opennlp,2685,2008-09-28T18:08:11.000000,2018-05-22T11:50:53.000000,391,391,353,144,353,462,462,223,165,172,118,118,112,112
calcite,2926,2012-04-20T03:40:33.000000,2018-06-27T18:33:39.000000,1170,1068,953,427,953,1561,1553,845,519,688,470,470,445,445
cayenne,6619,2007-01-21T11:11:02.000000,2018-06-08T12:54:59.000000,1888,1832,1274,850,1274,2067,2044,839,638,879,627,627,608,608
archiva,10261,2005-11-23T23:54:12.000000,2018-05-24T21:51:50.000000,1013,535,948,544,948,1294,881,707,570,899,561,561,542,542
bigtop,3298,2011-07-19T19:44:48.000000,2019-10-16T04:30:24.000000,1557,0,1557,0,1557,10,0,10,6,0,0,0,0,0
commons-bcel,1429,2001-10-29T12:42:33.000000,2019-03-02T22:18:51.000000,95,62,95,49,95,124,113,87,61,77,64,64,61,61
commons-beanutils,1341,2001-03-27T05:25:34.000000,2018-10-31T14:18:05.000000,124,87,119,59,119,121,106,64,62,57,42,42,39,39
commons-codec,1838,2003-04-25T17:51:00.000000,2018-10-20T07:15:23.000000,162,69,156,59,156,188,102,86,68,107,51,51,50,50
commons-collections,3380,2001-04-14T15:38:58.000000,2018-11-13T22:18:43.000000,181,35,180,88,180,213,80,149,108,100,62,62,60,60
commons-compress,2755,2003-11-23T20:07:47.000000,2018-11-10T20:55:55.000000,415,326,323,206,323,486,459,214,189,246,186,186,173,173
commons-configuration,3717,2003-12-23T15:09:04.000000,2018-10-30T14:46:22.000000,351,215,348,243,348,366,304,201,191,305,176,176,156,156
commons-dbcp,2205,2001-04-14T17:14:51.000000,2019-02-28T14:26:45.000000,207,119,192,106,192,275,218,174,110,138,79,79,76,76
commons-digester,2535,2001-05-03T00:28:33.000000,2018-05-15T18:25:00.000000,72,65,38,26,38,66,52,39,37,32,26,26,24,24
commons-io,2262,2002-01-25T19:06:14.000000,2018-11-03T04:21:18.000000,249,180,245,119,245,225,197,115,115,138,84,84,80,80
commons-jcs,1622,2002-04-07T16:55:19.000000,2018-10-04T19:28:30.000000,183,112,161,72,161,393,368,193,144,226,157,157,149,149
commons-lang,5792,2002-07-19T03:35:56.000000,2018-10-09T16:39:13.000000,565,346,542,242,542,581,435,325,284,302,191,191,188,188
commons-net,2270,2002-04-03T01:04:21.000000,2018-10-05T19:36:40.000000,257,218,252,176,252,256,244,156,141,183,136,136,130,130
commons-validator,3416,2002-01-06T00:47:39.000000,2018-10-07T01:19:13.000000,167,153,104,73,104,197,188,59,52,81,51,51,50,50
commons-vfs,2212,2002-07-16T17:19:16.000000,2018-11-07T18:57:25.000000,215,132,211,114,211,301,267,169,138,148,106,106,104,104
giraph,1121,2010-10-29T20:42:52.000000,2018-11-09T19:42:35.000000,386,384,361,141,361,427,427,256,177,189,156,156,152,152
gora,1329,2010-10-08T21:17:10.000000,2019-04-08T09:13:03.000000,224,170,212,102,212,224,214,75,58,89,51,51,49,49
parquet-mr,2249,2012-08-31T22:17:05.000000,2018-07-09T13:33:03.000000,464,419,291,120,291,777,777,201,146,182,139,139,132,132
wss4j,3734,2004-02-13T20:43:09.000000,2018-07-10T10:30:17.000000,463,432,389,248,389,633,615,412,288,302,238,238,218,218
kylin,12975,2014-05-13T23:23:13.000000,2018-07-09T08:39:27.000000,2057,1968,1959,1264,1959,2428,2380,1490,1077,1532,1077,1077,1035,1035
nutch,3532,2005-01-23T01:28:09.000000,2018-07-11T10:38:14.000000,1150,1013,983,549,983,1031,1021,431,391,427,320,320,310,310
tika,4933,2007-03-31T07:22:55.000000,2018-07-09T16:34:02.000000,1208,1058,1113,670,1113,1180,1151,713,583,694,482,482,458,458
deltaspike,2311,2011-12-22T13:04:14.000000,2018-07-26T11:28:33.000000,501,499,492,217,492,522,521,283,220,255,188,188,180,180
systemml,6196,2012-01-11T21:58:41.000000,2018-08-17T05:58:28.000000,614,449,587,304,587,1158,1091,786,571,632,541,541,509,509
lens,2418,2013-05-23T06:47:52.000000,2018-08-13T09:23:14.000000,579,576,503,276,503,712,709,394,311,516,334,334,323,323
knox,2069,2012-10-24T18:57:32.000000,2018-10-31T16:33:03.000000,924,908,872,348,872,767,766,365,250,374,224,224,213,213
jspwiki,8809,2001-07-06T14:26:17.000000,2018-12-25T23:33:07.000000,551,299,371,234,371,1112,650,475,433,614,359,359,352,352
manifoldcf,5936,2010-01-11T22:36:06.000000,2019-01-08T00:16:21.000000,1361,1171,1338,671,1338,1139,1060,698,610,638,547,547,532,532
eagle,1119,2015-10-16T21:59:49.000000,2018-05-28T18:07:35.000000,298,155,246,130,246,354,270,193,128,174,118,118,113,113
santuario-java,3376,2001-09-28T17:52:10.000000,2019-03-26T11:27:29.000000,162,152,152,97,152,307,276,207,181,162,119,119,109,109
kafka,6971,2011-08-01T23:41:24.000000,2018-05-31T06:03:51.000000,3480,3333,2740,0,2740,3349,3341,940,758,0,0,0,0,0
zeppelin,4735,2013-06-19T04:40:59.000000,2018-05-30T04:03:27.000000,2052,1907,1222,0,1222,2016,2008,588,473,0,0,0,0,0
struts,6080,2006-02-22T05:16:10.000000,2018-06-03T20:00:59.000000,1580,1457,1555,0,1555,1260,1245,611,0,0,0,0,0,0
