project,id,age,#commits,#added,#deleted,#files,#comments,#review_comments,bot,code_change,intra_branch,#approvals,#changes_requested,fix,test,buggy,is_member,url
commons-bcel,5ff19d7fad38daddddf61288,73.46666666666667,5,168,64,6,0,0,false,true,true,0,0,true,true,false,true,https://github.com/apache/commons-bcel/pull/23
commons-dbcp,5ff1a8abb8cea70784f68525,1549.4166666666667,1,37,0,2,2,0,false,true,false,1,0,false,true,false,false,https://github.com/apache/commons-dbcp/pull/29
commons-dbcp,5ff1a8b2b8cea70784f6853c,2534.6666666666665,1,146,0,1,0,0,false,true,false,0,0,true,true,false,true,https://github.com/apache/commons-dbcp/pull/22
commons-compress,60016efd530e2dd2493b4ab4,15821.316666666668,9,255,21,9,8,7,false,true,false,0,0,true,true,true,false,https://github.com/apache/commons-compress/pull/20
commons-io,5ff32ef42abb474bfafce6d7,21.383333333333333,2,2,1,2,1,0,false,false,false,0,0,false,false,false,false,https://github.com/apache/commons-io/pull/63
commons-io,5ff32f242abb474bfafce7f0,671.7166666666667,1,21,0,1,1,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/commons-io/pull/44
commons-io,5ff32f252abb474bfafce7f6,41376.083333333336,1,2,1,1,3,0,false,true,false,0,0,false,false,false,false,https://github.com/apache/commons-io/pull/43
commons-io,5ff32f6b2abb474bfafceb91,98311.76666666666,1,6,0,2,3,0,false,true,false,0,0,true,true,false,false,https://github.com/apache/commons-io/pull/19
jspwiki,5ff3318e9f5b4ed8be2f10ab,30242.1,3,71,67,5,0,0,false,false,false,0,0,false,false,false,false,https://github.com/apache/jspwiki/pull/2
commons-math,5ff1b149fa1fbd8a01abdd51,6077.083333333333,4,856,444,7,2,1,false,true,false,0,0,false,true,false,false,https://github.com/apache/commons-math/pull/81
commons-math,5ff1b14cfa1fbd8a01abdd64,3157.75,2,44,17,2,1,0,false,true,false,0,0,true,true,false,false,https://github.com/apache/commons-math/pull/80
commons-math,5ff1b153fa1fbd8a01abdd7e,495.1166666666667,3,2881,373,9,1,0,false,true,false,0,0,true,true,false,false,https://github.com/apache/commons-math/pull/77
commons-math,5ff1b157fa1fbd8a01abdd96,2682.1666666666665,2,193,30,2,0,0,false,true,false,0,0,true,true,false,false,https://github.com/apache/commons-math/pull/75
commons-math,5ff1b15bfa1fbd8a01abdda5,2302.133333333333,1,99,28,2,1,0,false,true,false,0,0,true,true,false,false,https://github.com/apache/commons-math/pull/73
commons-math,5ff1b15cfa1fbd8a01abddad,2304.116666666667,1,179,6,2,1,0,false,true,false,0,0,true,true,false,false,https://github.com/apache/commons-math/pull/72
commons-math,5ff1b16ffa1fbd8a01abddf4,39.733333333333334,1,3,3,3,1,0,false,true,false,0,0,true,false,false,false,https://github.com/apache/commons-math/pull/62
commons-math,5ff1b176fa1fbd8a01abde1d,33679.566666666666,1,158,571,4,1,0,false,true,false,0,0,true,true,false,true,https://github.com/apache/commons-math/pull/58
commons-math,5ff1b183fa1fbd8a01abe069,1123.95,1,28,7,2,0,0,false,true,false,0,0,true,true,true,false,https://github.com/apache/commons-math/pull/55
commons-math,5ff1b198fa1fbd8a01abe0b7,35.31666666666667,3,11,1,3,3,0,false,true,false,0,0,true,true,false,true,https://github.com/apache/commons-math/pull/44
commons-math,5ff1b1affa1fbd8a01abe12c,200.85,1,88,88,1,0,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/commons-math/pull/33
commons-math,5ff1b1b1fa1fbd8a01abe131,12867.083333333334,1,26,17,2,0,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/commons-math/pull/32
commons-math,5ff1b1b3fa1fbd8a01abe137,9093.866666666667,3,405,649,3,0,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/commons-math/pull/31
commons-math,5ff1b1b5fa1fbd8a01abe140,9937.35,3,774,6,7,0,0,false,true,false,0,0,false,true,false,true,https://github.com/apache/commons-math/pull/30
commons-math,5ff1b1b7fa1fbd8a01abe14d,239.95,2,405,649,3,0,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/commons-math/pull/29
commons-math,5ff20914775118d205843fcf,1778.7833333333333,1,195,0,2,1,0,false,false,false,0,0,false,false,false,true,https://github.com/apache/commons-math/pull/4
commons-math,5ff20918775118d205843ff1,2537.6666666666665,2,923,1341,10,0,0,false,true,false,0,0,true,true,true,false,https://github.com/apache/commons-math/pull/2
commons-math,5ff2091a775118d205844000,8160.666666666667,2,23,3,2,0,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/commons-math/pull/1
archiva,5ff191d5d27122d980856735,2902.1666666666665,2,55,56,24,1,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/archiva/pull/30
archiva,5ff191d7d27122d980856753,289.71666666666664,1,82,43,4,0,0,false,true,false,0,0,true,true,false,false,https://github.com/apache/archiva/pull/28
archiva,5ff191d9d27122d98085675c,24761.083333333332,1,36,31,1,0,0,false,true,false,0,0,false,false,false,false,https://github.com/apache/archiva/pull/27
archiva,5ff191dbd27122d980856761,603.1666666666666,3,98,5,8,0,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/archiva/pull/26
archiva,5ff191ddd27122d98085676f,144.33333333333334,2,17,1,2,0,0,false,true,false,0,0,true,true,true,false,https://github.com/apache/archiva/pull/25
archiva,5ff191dfd27122d980856776,601.0,1,12,1,1,0,0,false,true,false,0,0,false,false,false,false,https://github.com/apache/archiva/pull/24
archiva,5ff191e1d27122d98085677c,5383.166666666667,1,22,3,1,1,0,false,true,false,0,0,false,false,true,false,https://github.com/apache/archiva/pull/23
archiva,5ff191e3d27122d980856782,321.06666666666666,1,2,0,1,0,0,false,true,false,0,0,false,false,false,false,https://github.com/apache/archiva/pull/22
archiva,5ff191e4d27122d980856787,1630.5333333333333,1,3,0,1,0,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/archiva/pull/21
archiva,5ff191e6d27122d98085678d,49747.833333333336,1,3,2,2,1,0,false,true,false,0,0,false,false,false,false,https://github.com/apache/archiva/pull/20
archiva,5ff191e8d27122d980856794,6403.3,2,2,0,1,0,0,false,true,false,0,0,false,false,false,false,https://github.com/apache/archiva/pull/19
archiva,5ff191ead27122d98085679a,17967.366666666665,1,6,14,5,1,0,false,true,false,0,0,false,false,false,false,https://github.com/apache/archiva/pull/18
archiva,5ff191efd27122d9808567ad,7712.266666666666,1,15,2,2,7,0,false,true,false,0,0,true,false,true,false,https://github.com/apache/archiva/pull/16
archiva,5ff191f1d27122d9808567c0,2554.95,1,2,2,1,1,0,false,false,false,0,0,false,false,false,false,https://github.com/apache/archiva/pull/15
archiva,5ff191f3d27122d9808567c6,9926.083333333334,4,1165,128,87,2,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/archiva/pull/14
archiva,5ff191f6d27122d980856826,130.45,4,445,344,9,3,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/archiva/pull/13
archiva,5ff191f8d27122d980856839,148.45,1,6,17,2,1,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/archiva/pull/12
archiva,5ff191fad27122d980856841,3936.0333333333333,1,26,0,3,1,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/archiva/pull/11
archiva,5ff191fdd27122d980856860,15057.433333333332,1,139,2101,13,2,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/archiva/pull/9
archiva,5ff191ffd27122d980856874,3335.516666666667,2,77,26,9,2,0,false,true,false,0,0,true,true,true,false,https://github.com/apache/archiva/pull/8
archiva,5ff19201d27122d980856884,1329.9666666666667,2,2,3,2,1,0,false,false,false,0,0,true,false,false,false,https://github.com/apache/archiva/pull/7
archiva,5ff19205d27122d980856892,182.46666666666667,1,38,0,5,0,0,false,true,false,0,0,true,false,false,false,https://github.com/apache/archiva/pull/5
archiva,5ff19206d27122d98085689b,53.96666666666667,1,2,0,1,1,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/archiva/pull/4
ant-ivy,5ff188c83fba52c925be8cb8,2550.1666666666665,1,0,0,0,1,0,false,false,false,0,0,false,false,false,false,https://github.com/apache/ant-ivy/pull/50
ant-ivy,5ff188d13fba52c925be8ce0,4163.066666666667,12,0,0,0,0,0,false,false,false,0,0,false,false,false,true,https://github.com/apache/ant-ivy/pull/47
ant-ivy,5ff188d83fba52c925be8d47,170.16666666666666,1,154,2,3,1,0,false,true,false,0,0,false,true,false,true,https://github.com/apache/ant-ivy/pull/44
ant-ivy,5ff188da3fba52c925be8d4f,5138.666666666667,8,606,694,75,9,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/ant-ivy/pull/43
ant-ivy,5ff188dd3fba52c925be8db1,903.5,4,909,871,30,0,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/ant-ivy/pull/42
ant-ivy,5ff188e03fba52c925be8de0,495.1,1,5,5,3,1,0,false,true,false,0,0,false,true,false,true,https://github.com/apache/ant-ivy/pull/40
ant-ivy,5ff188e23fba52c925be8de8,4586.133333333333,13,0,0,0,3,0,false,false,false,0,0,false,false,false,false,https://github.com/apache/ant-ivy/pull/39
ant-ivy,5ff188e73fba52c925be8e0f,1710.2,1,6,2,1,2,0,false,false,false,0,0,false,true,false,true,https://github.com/apache/ant-ivy/pull/37
ant-ivy,5ff188e93fba52c925be8e17,5356.833333333333,1,265,284,5,13,0,false,false,false,0,0,false,false,false,false,https://github.com/apache/ant-ivy/pull/36
ant-ivy,5ff188eb3fba52c925be8e34,92.93333333333334,2,10,4,4,1,0,false,false,false,0,0,false,false,false,true,https://github.com/apache/ant-ivy/pull/35
ant-ivy,5ff188ed3fba52c925be8e3f,3176.116666666667,1,293,1,4,5,0,false,true,false,0,0,true,true,false,true,https://github.com/apache/ant-ivy/pull/34
ant-ivy,5ff188ef3fba52c925be8e50,2525.9666666666667,6,0,0,0,6,0,false,false,false,0,0,false,false,true,false,https://github.com/apache/ant-ivy/pull/33
ant-ivy,5ff188f33fba52c925be8e68,280.26666666666665,1,91,93,25,4,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/ant-ivy/pull/32
ant-ivy,5ff188f53fba52c925be8e8a,967.7,3,0,0,0,7,0,false,false,false,0,0,false,false,false,false,https://github.com/apache/ant-ivy/pull/31
ant-ivy,5ff188f83fba52c925be8e9d,1332.75,1,62,18,3,2,0,false,true,false,0,0,false,true,false,true,https://github.com/apache/ant-ivy/pull/30
ant-ivy,5ff188fd3fba52c925be8eb1,13150.233333333334,1,201,29,10,2,0,false,true,false,0,0,true,true,false,true,https://github.com/apache/ant-ivy/pull/27
ant-ivy,5ff188ff3fba52c925be8ec8,94.45,1,4,4,1,0,0,false,false,false,0,0,false,false,false,true,https://github.com/apache/ant-ivy/pull/26
ant-ivy,5ff189013fba52c925be8ecd,201.71666666666667,1,3,5,1,0,0,false,false,false,0,0,false,false,false,true,https://github.com/apache/ant-ivy/pull/25
ant-ivy,5ff189033fba52c925be8ed3,15811.1,1,93,23,3,0,0,false,true,false,0,0,true,true,false,true,https://github.com/apache/ant-ivy/pull/24
ant-ivy,5ff189043fba52c925be8edd,719.95,1,7,5,2,0,0,false,true,false,0,0,false,true,false,true,https://github.com/apache/ant-ivy/pull/23
ant-ivy,5ff189083fba52c925be8eed,18672.716666666667,1,102,8,3,3,0,false,true,false,0,0,true,true,false,true,https://github.com/apache/ant-ivy/pull/21
ant-ivy,5ff1890a3fba52c925be8efc,10519.716666666667,1,150,41,2,14,0,false,true,false,0,0,true,true,true,true,https://github.com/apache/ant-ivy/pull/20
ant-ivy,5ff1890c3fba52c925be8f1a,4717.816666666667,1,157,5,11,0,0,false,true,false,0,0,false,true,false,true,https://github.com/apache/ant-ivy/pull/19
ant-ivy,5ff1890e3fba52c925be8f2a,695.6166666666667,1,41,5,4,0,0,false,true,false,0,0,true,true,false,true,https://github.com/apache/ant-ivy/pull/18
ant-ivy,5ff189103fba52c925be8f33,562.5,1,130,10,8,0,0,false,true,false,0,0,true,true,false,true,https://github.com/apache/ant-ivy/pull/17
ant-ivy,5ff189113fba52c925be8f40,162.53333333333333,1,5,2,1,0,0,false,false,false,0,0,false,false,false,true,https://github.com/apache/ant-ivy/pull/16
ant-ivy,5ff1891c3fba52c925be8f6d,230595.73333333334,1,56,14,3,0,0,false,true,false,0,0,true,true,false,true,https://github.com/apache/ant-ivy/pull/10
parquet-mr,5ff30011338a16fed4bf198d,29054.45,4,10429,1560,83,5,25,false,true,true,1,0,false,true,false,false,https://github.com/apache/parquet-mr/pull/527
deltaspike,5ff31267b490aac720ce8705,173.81666666666666,1,1,1,1,0,0,false,false,false,0,0,false,false,false,false,https://github.com/apache/deltaspike/pull/73
deltaspike,5ff31269b490aac720ce870a,1232.9666666666667,1,1,1,1,0,0,false,false,false,0,0,false,false,false,false,https://github.com/apache/deltaspike/pull/72
deltaspike,5ff3127fb490aac720ce8791,32109.883333333335,1,72,12,3,0,0,false,false,false,0,0,false,false,false,false,https://github.com/apache/deltaspike/pull/61
deltaspike,5ff31283b490aac720ce87a4,2697.366666666667,1,237,23,6,3,0,false,true,false,0,0,false,true,true,false,https://github.com/apache/deltaspike/pull/59
deltaspike,5ff31287b490aac720ce87c0,432.0833333333333,1,0,49,21,0,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/deltaspike/pull/57
deltaspike,5ff31294b490aac720ce882c,6160.1,1,21,9,2,0,0,false,true,false,0,0,true,true,false,false,https://github.com/apache/deltaspike/pull/51
deltaspike,5ff31296b490aac720ce8832,379.23333333333335,1,29,4,3,0,0,false,true,false,0,0,true,true,false,false,https://github.com/apache/deltaspike/pull/50
deltaspike,5ff31298b490aac720ce8839,355.78333333333336,1,158,46,2,1,0,false,false,false,0,0,false,false,false,false,https://github.com/apache/deltaspike/pull/49
deltaspike,5ff3129cb490aac720ce8848,6059.983333333334,1,183,93,3,7,0,false,false,false,0,0,false,true,false,false,https://github.com/apache/deltaspike/pull/47
deltaspike,5ff312a6b490aac720ce8889,486.3,1,1,11,2,1,0,false,false,false,0,0,false,false,false,false,https://github.com/apache/deltaspike/pull/42
deltaspike,5ff312aab490aac720ce889d,132.6,2,55,5,3,0,0,false,true,false,0,0,true,true,false,false,https://github.com/apache/deltaspike/pull/40
deltaspike,5ff312b3b490aac720ce88c4,89.26666666666667,1,165,12,6,0,0,false,true,false,0,0,true,false,true,false,https://github.com/apache/deltaspike/pull/35
deltaspike,5ff312b7b490aac720ce88d5,99.38333333333334,1,112,4,8,0,0,false,true,false,0,0,false,true,false,true,https://github.com/apache/deltaspike/pull/33
deltaspike,5ff312b9b490aac720ce88e1,25.45,1,34,4,2,0,0,false,true,false,0,0,true,true,false,true,https://github.com/apache/deltaspike/pull/32
deltaspike,5ff312bbb490aac720ce88e9,168.13333333333333,1,17,0,1,0,0,false,false,false,0,0,false,false,false,true,https://github.com/apache/deltaspike/pull/31
deltaspike,5ff312bdb490aac720ce88f0,8313.866666666667,1,232,95,25,0,0,false,true,false,0,0,false,false,false,false,https://github.com/apache/deltaspike/pull/30
deltaspike,5ff312c8b490aac720ce894e,381.5833333333333,1,1,0,1,0,0,false,false,false,0,0,true,false,false,false,https://github.com/apache/deltaspike/pull/24
deltaspike,5ff312ccb490aac720ce895a,8807.066666666668,1,10,6,5,2,0,false,true,false,0,0,true,true,false,false,https://github.com/apache/deltaspike/pull/22
deltaspike,5ff312dab490aac720ce899a,290.3833333333333,1,3,3,3,0,0,false,false,false,0,0,false,false,false,false,https://github.com/apache/deltaspike/pull/14
deltaspike,5ff312e7b490aac720ce8a25,1420.1666666666667,1,792,26,26,0,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/deltaspike/pull/7
mahout,5ff1b145e9a0d2f3d472a3a0,2.683333333333333,28,6961,3116,1700,0,0,false,true,true,0,0,true,true,false,false,https://github.com/apache/mahout/pull/365
mahout,5ff2300bfd3e6829617b1018,6.85,1,15,15,13,1,0,false,false,false,0,0,false,false,false,true,https://github.com/apache/mahout/pull/336
mahout,5ff23053fd3e6829617b148f,1.3166666666666667,1,15981,355,181,0,0,false,true,false,0,0,false,false,false,false,https://github.com/apache/mahout/pull/311
mahout,5ff2305afd3e6829617b1589,1367.3,11,756,2569,78,0,0,false,false,false,0,0,false,true,false,false,https://github.com/apache/mahout/pull/309
mahout,5ff2305dfd3e6829617b15e5,10.9,1,1403,8651,144,0,0,false,false,false,0,0,false,false,false,false,https://github.com/apache/mahout/pull/308
mahout,5ff23087fd3e6829617b1867,2518.8,1,196,12,1,1,0,false,false,false,0,0,false,false,false,true,https://github.com/apache/mahout/pull/297
mahout,5ff23136fd3e6829617b1fab,2207.8,1,10,4,1,3,0,false,true,false,0,0,false,false,false,false,https://github.com/apache/mahout/pull/227
mahout,5ff23138fd3e6829617b1fb9,73236.23333333334,1,0,74521,292,0,0,false,true,false,0,0,false,true,false,true,https://github.com/apache/mahout/pull/226
mahout,5ff2313dfd3e6829617b20f2,115.43333333333334,1,10,5,2,0,0,false,false,false,0,0,false,true,false,true,https://github.com/apache/mahout/pull/225
mahout,5ff2316efd3e6829617b22c4,2793.5833333333335,10,71,18,3,1,0,false,true,false,0,0,false,false,false,true,https://github.com/apache/mahout/pull/203
mahout,5ff23174fd3e6829617b22ef,4.5,1,3,0,1,2,0,false,false,false,0,0,true,false,false,true,https://github.com/apache/mahout/pull/200
mahout,5ff2317bfd3e6829617b2316,4.85,1,3,3,2,0,0,false,true,false,0,0,false,false,false,true,https://github.com/apache/mahout/pull/196
mahout,5ff2317efd3e6829617b231d,14.566666666666666,1,20,20,4,1,0,false,true,false,0,0,false,true,false,true,https://github.com/apache/mahout/pull/195
mahout,5ff231a8fd3e6829617b25a9,174378.68333333332,2,35,10,6,2,0,false,false,false,0,0,false,false,false,false,https://github.com/apache/mahout/pull/178
mahout,5ff231abfd3e6829617b25bc,2.55,1,5,7,4,0,0,false,true,false,0,0,false,true,false,true,https://github.com/apache/mahout/pull/176
mahout,5ff231adfd3e6829617b25c5,1853.0833333333333,1,13,7,2,1,0,false,true,false,0,0,false,true,false,true,https://github.com/apache/mahout/pull/175
mahout,5ff231befd3e6829617b2681,5.683333333333334,3,126,55,9,0,0,false,true,false,0,0,true,false,false,true,https://github.com/apache/mahout/pull/167
mahout,5ff231c1fd3e6829617b2697,5.35,1,52,51,15,1,0,false,true,false,0,0,false,true,false,true,https://github.com/apache/mahout/pull/165
mahout,5ff231c9fd3e6829617b26e7,6636.266666666666,1,16,29,10,16,0,false,true,false,0,0,false,false,false,false,https://github.com/apache/mahout/pull/161
mahout,5ff231e3fd3e6829617b2777,19.383333333333333,1,6,2,6,0,0,false,true,false,0,0,false,true,false,true,https://github.com/apache/mahout/pull/147
mahout,5ff231f6fd3e6829617b27f4,431595.25,40,3388,124,79,23,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/mahout/pull/137
mahout,5ff2326bfd3e6829617b3006,66.83333333333333,1,29,19,2,0,0,false,true,false,0,0,true,false,false,true,https://github.com/apache/mahout/pull/85
mahout,5ff2327dfd3e6829617b33a5,6.083333333333333,1,324,433,132,0,0,false,true,false,0,0,false,true,true,true,https://github.com/apache/mahout/pull/80
mahout,5ff23281fd3e6829617b342e,26.666666666666668,1,4,2,2,0,0,false,true,false,0,0,true,false,false,true,https://github.com/apache/mahout/pull/79
mahout,5ff232defd3e6829617b38b1,357421.35,1,65,11,2,2,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/mahout/pull/34
mahout,5ff23319fd3e6829617b3c34,93.35,1,33,123,7,0,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/mahout/pull/7
mahout,5ff2331dfd3e6829617b3c74,1115.05,3,147,62,7,1,0,false,true,false,0,0,true,true,true,false,https://github.com/apache/mahout/pull/5
flume,5ff4a3d1510aa417d0154458,30484.733333333334,6,1445,670,63,6,20,false,true,true,1,1,false,true,false,true,https://github.com/apache/flume/pull/181
commons-imaging,5ff564a33e40be70c2284f2b,289201.31666666665,1,441,453,89,9,14,false,true,false,0,0,false,true,true,true,https://github.com/apache/commons-imaging/pull/35
eagle,5ff332bd7f8b1918d2496528,8.733333333333333,2,568,431,44,0,0,false,false,false,0,0,false,true,false,true,https://github.com/apache/eagle/pull/971
eagle,5ff335c37f8b1918d24982ec,39.083333333333336,1,205,298,7,0,0,false,true,false,0,0,true,true,true,false,https://github.com/apache/eagle/pull/626
eagle,5ff337227f8b1918d2498cfd,91.78333333333333,1,270,49,9,0,0,false,true,false,0,0,false,true,true,false,https://github.com/apache/eagle/pull/462
eagle,5ff33a677f8b1918d249955f,1.3166666666666667,1,168,29,6,0,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/eagle/pull/400
eagle,5ff33b227f8b1918d249a852,240.66666666666666,1,434,71,3,1,0,false,true,false,0,0,false,true,true,false,https://github.com/apache/eagle/pull/328
eagle,5ff33b357f8b1918d249a94b,58.2,1,48,3,4,1,0,false,true,false,0,0,false,true,true,false,https://github.com/apache/eagle/pull/319
eagle,5ff33ccd7f8b1918d249dec7,5935.683333333333,3,12,4,5,0,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/eagle/pull/176
eagle,5ff33ce47f8b1918d249e063,35.016666666666666,1,3,278,2,3,0,false,false,false,0,0,false,false,false,false,https://github.com/apache/eagle/pull/165
eagle,5ff33ceb7f8b1918d249e0f4,107.51666666666667,2,4,2,2,1,0,false,false,false,0,0,false,false,false,false,https://github.com/apache/eagle/pull/162
eagle,5ff33d337f8b1918d249e3fd,1024.2833333333333,5,126,36,7,0,0,false,false,false,0,0,false,false,false,true,https://github.com/apache/eagle/pull/126
eagle,5ff33d3b7f8b1918d249e450,7574.133333333333,3,30,10,3,3,0,false,true,false,0,0,false,false,false,false,https://github.com/apache/eagle/pull/122
eagle,5ff33d4f7f8b1918d249e721,8096.033333333334,4,84,81,63,2,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/eagle/pull/115
eagle,5ff33e237f8b1918d249f68a,148.08333333333334,3,50,48,3,3,0,false,false,false,0,0,false,false,false,false,https://github.com/apache/eagle/pull/14
eagle,5ff33e297f8b1918d249f6ac,4322.916666666667,1,218,151,6,1,0,false,true,false,0,0,false,false,false,false,https://github.com/apache/eagle/pull/11
eagle,5ff33e2b7f8b1918d249f6bb,4329.75,1,7,3,1,0,0,false,true,false,0,0,false,false,false,false,https://github.com/apache/eagle/pull/10
eagle,5ff33e2d7f8b1918d249f6c4,8065.933333333333,1,4,1,1,1,0,false,true,false,0,0,false,false,false,false,https://github.com/apache/eagle/pull/9
eagle,5ff33e2f7f8b1918d249f6d0,8385.733333333334,4,1816,74,48,9,0,false,true,false,0,0,false,true,true,false,https://github.com/apache/eagle/pull/8
eagle,5ff33e327f8b1918d249f726,5553.516666666666,3,839,29317,143,1,0,false,true,false,0,0,false,false,false,false,https://github.com/apache/eagle/pull/7
eagle,5ff33e367f8b1918d249f7bf,6580.683333333333,5,51,40,15,1,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/eagle/pull/6
eagle,5ff33e3a7f8b1918d249f7f3,8701.033333333333,2,4,4,1,2,0,false,false,false,0,0,false,false,false,false,https://github.com/apache/eagle/pull/4
eagle,5ff33e3c7f8b1918d249f7fc,9.583333333333334,1,15,10,1,0,0,false,true,false,0,0,false,false,false,true,https://github.com/apache/eagle/pull/3
directory-fortress-core,5ff579abbf14e1deb0bf2911,24285.3,1,17,0,2,0,0,false,true,false,0,0,false,false,false,false,https://github.com/apache/directory-fortress-core/pull/9
directory-fortress-core,5ff579acbf14e1deb0bf2917,24320.733333333334,1,11,1,2,0,0,false,true,false,0,0,false,false,false,false,https://github.com/apache/directory-fortress-core/pull/8
