project,npr,fprd,lprd,nmpr,nrpr,nmpr_all,nmpr_partial,nmpr_none,nmpr_nc==0,nmpr_nc==1,nmpr_1<nc<=5,nmpr_5<nc<=10,nmpr_10<nc<=20,nmpr_20<nc<=30,nmpr_30<nc,nmbfpr,nmbfpr_a,nmbfpr_io,nmbfpr_v,nmbfpr_if,nmbipr,nmbipr_szz,nmbipr_jl+r,nmbipr_jlmiv,nmbipr_jlmiv+,nmbipr_jlmiv+av,nmbipr_jlmiv+rav,nmbipr_jlmiv+r,nmbipr_jlip+r,nmbipr_jlmivlv
commons-rdf,56,2015-03-28T10:59:29.000000,2020-12-31T08:44:33.000000,37,14,37,0,1,1,21,25,3,4,1,3,9,8,9,3,9,8,8,5,6,3,3,3,3,4,
ant-ivy,81,2014-09-24T08:28:15.000000,2020-04-05T10:26:16.000000,28,40,27,0,1,0,20,23,2,2,0,0,9,9,8,8,8,6,6,2,5,2,2,2,2,2,1
commons-math,160,2014-10-09T15:14:12.000000,2020-12-21T15:09:48.000000,39,65,17,1,21,0,8,17,0,0,0,0,10,9,10,4,10,5,5,2,4,2,2,2,2,2,2
mahout,409,2014-05-23T19:18:13.000000,2020-10-30T17:47:35.000000,65,339,26,1,38,0,20,23,1,1,0,1,5,5,5,1,5,8,8,2,3,1,1,1,1,1,
opennlp,389,2014-02-23T18:53:53.000000,2020-12-25T02:37:37.000000,184,190,79,0,105,0,79,79,0,0,0,0,17,17,15,9,15,18,18,9,6,4,4,4,4,4,4
calcite,2310,2014-07-03T19:29:03.000000,2021-01-04T02:30:53.000000,600,1528,23,0,577,0,19,21,2,0,0,0,17,17,15,9,15,18,18,13,12,9,9,7,7,9,
cayenne,441,2014-08-14T13:10:50.000000,2020-12-04T12:18:47.000000,320,89,203,0,117,0,126,191,9,2,1,0,74,71,64,36,64,74,70,37,42,29,29,27,27,33,
archiva,40,2014-04-23T13:49:40.000000,2020-05-08T21:00:09.000000,29,10,23,0,6,0,15,23,0,0,0,0,7,4,6,4,6,4,2,4,4,4,4,4,4,4,
bigtop,695,2014-01-20T17:23:29.000000,2020-12-15T14:37:17.000000,248,264,30,0,218,0,30,30,0,0,0,0,8,0,8,0,8,0,,,,,,,,,
commons-bcel,75,2014-09-24T03:16:41.000000,2020-12-10T05:52:22.000000,39,31,1,0,38,0,0,1,0,0,0,0,1,0,1,1,1,0,,,,,,,,,
commons-beanutils,62,2016-09-23T20:26:46.000000,2020-12-31T05:18:33.000000,23,28,0,0,23,,,,,,,,,,,,,,,,,,,,,,
commons-codec,67,2012-08-31T23:56:05.000000,2020-12-08T08:46:36.000000,26,28,0,0,26,,,,,,,,,,,,,,,,,,,,,,
commons-collections,200,2014-05-01T21:01:02.000000,2021-01-01T06:04:52.000000,84,98,0,0,84,,,,,,,,,,,,,,,,,,,,,,
commons-compress,157,2015-10-24T16:50:54.000000,2021-01-05T05:40:46.000000,55,98,1,0,54,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
commons-configuration,83,2014-06-12T10:17:29.000000,2021-01-02T14:30:40.000000,34,38,0,0,34,,,,,,,,,,,,,,,,,,,,,,
commons-dbcp,79,2013-12-17T17:01:45.000000,2020-12-31T05:16:05.000000,36,33,2,0,34,0,2,2,0,0,0,0,1,1,1,0,1,0,,,,,,,,,
commons-digester,11,2015-04-11T14:19:47.000000,2020-12-28T07:49:20.000000,0,2,,,,,,,,,,,,,,,,,,,,,,,,,
commons-io,180,2013-10-09T20:08:10.000000,2021-01-04T10:56:27.000000,77,74,4,0,73,0,3,4,0,0,0,0,1,0,1,1,1,0,,,,,,,,,
commons-jcs,14,2014-04-27T22:02:08.000000,2021-01-01T10:27:13.000000,5,6,0,0,5,,,,,,,,,,,,,,,,,,,,,,
