project,#pr,#mpr,#cmt+pr+bi,#cmt+pr+bi_szz,#cmt+pr-bi,#cmt+pr-bi_szz,#cmt-pr+bi,#cmt-pr+bi_szz,#cmt-pr-bi,#cmt-pr-bi_szz,#fa+pr+bi,#fa+pr+bi_szz,#fa+pr-bi,#fa+pr-bi_szz,#fa-pr+bi,#fa-pr+bi_szz,#fa-pr-bi,#fa-pr-bi_szz
commons-rdf,56,37,28,28,237,237,27,27,1019,1019,51,70,2057,2038,40,44,7325,7321
commons-bcel,75,39,0,0,5,5,124,113,1300,1311,0,0,7,7,596,634,12501,12463
commons-beanutils,62,23,0,0,0,0,121,106,1220,1235,0,0,0,0,183,191,5999,5991
opennlp,389,184,18,18,65,65,444,444,2158,2158,34,34,611,611,1019,1289,18592,18322
calcite,2310,600,34,34,27,27,1527,1519,1338,1346,139,217,434,356,8871,15061,26042,19852
ant-ivy,81,28,7,7,65,65,662,657,2455,2460,13,13,2984,2984,1451,2038,19616,19029
bigtop,695,248,0,0,208,208,10,0,3080,3090,0,0,1056,1056,15,0,19624,19639
commons-codec,67,26,0,0,0,0,188,102,1650,1736,0,0,0,0,263,137,4581,4707
mahout,409,65,44,44,232,232,1238,1237,2653,2654,96,112,5867,5851,4279,5861,87370,85788
commons-compress,157,55,31,30,154,155,455,429,2115,2141,51,70,506,487,626,753,7059,6932
commons-dbcp,79,36,0,0,2,2,275,218,1928,1985,0,0,3,3,462,437,5904,5929
commons-io,180,77,9,8,246,247,216,189,1791,1818,11,10,688,689,282,313,6942,6911
commons-jcs,14,5,0,0,0,0,393,368,1229,1254,0,0,0,0,1636,1942,14841,14535
commons-digester,11,0,0,0,2,2,66,52,2467,2481,0,0,1,1,108,101,9621,9628
commons-collections,200,84,0,0,0,0,213,80,3167,3300,0,0,0,0,396,97,24643,24942
giraph,146,0,47,47,184,184,380,380,510,510,211,229,1976,1958,1638,2343,8560,7855
commons-configuration,83,34,0,0,3,3,366,304,3348,3410,0,0,5,5,514,629,12836,12721
cayenne,441,320,100,94,324,330,1967,1950,4228,4245,399,424,6556,6531,6696,9000,101272,98968
gora,224,182,37,35,290,292,187,179,815,823,97,98,3822,3821,417,601,7508,7324
commons-math,160,39,5,5,41,41,883,699,6293,6477,11,11,233,233,2376,2307,44495,44564
commons-net,66,23,0,0,0,0,256,244,2014,2026,0,0,0,0,363,469,10921,10815
commons-vfs,150,59,0,0,6,6,301,267,1905,1939,0,0,32,32,616,628,13340,13328
parquet-mr,829,254,26,26,71,71,751,751,1401,1401,41,55,739,725,2560,4169,47190,45581
commons-validator,50,17,0,0,0,0,197,188,3219,3228,0,0,0,0,283,344,11269,11208
