project,#pull_request,first_pull_request_date,last_pull_request_date,last_commit_date,#pull_request_with_commit,#merged_pull_request,#mpr_all,#mpr_partial,#mpr_none,#mpr_nc==0,#mpr_nc==1,#mpr_1<nc<=5,#mpr_5<nc<=10,#mpr_10<nc<=20,#mpr_20<nc<=30,#mpr_30<nc
commons-beanutils,62,2016-09-23T20:26:46.000000,2020-12-31T05:18:33.000000,2018-10-31T14:18:05.000000,4,23,0,0,23,0,0,0,0,0,0,0
commons-bcel,75,2014-09-24T03:16:41.000000,2020-12-10T05:52:22.000000,2019-03-02T22:18:51.000000,24,39,1,0,38,0,0,1,0,0,0,0
commons-dbcp,79,2013-12-17T17:01:45.000000,2020-12-31T05:16:05.000000,2019-02-28T14:26:45.000000,26,36,2,0,34,0,2,2,0,0,0,0
commons-codec,67,2012-08-31T23:56:05.000000,2020-12-08T08:46:36.000000,2018-10-20T07:15:23.000000,14,26,0,0,26,0,0,0,0,0,0,0
commons-configuration,83,2014-06-12T10:17:29.000000,2021-01-02T14:30:40.000000,2018-10-30T14:46:22.000000,15,34,0,0,34,0,0,0,0,0,0,0
commons-digester,11,2015-04-11T14:19:47.000000,2020-12-28T07:49:20.000000,2018-05-15T18:25:00.000000,1,0,0,0,0,0,0,0,0,0,0,0
commons-compress,157,2015-10-24T16:50:54.000000,2021-01-05T05:40:46.000000,2018-11-10T20:55:55.000000,68,55,1,0,54,0,0,0,1,0,0,0
commons-jcs,14,2014-04-27T22:02:08.000000,2021-01-01T10:27:13.000000,2018-10-04T19:28:30.000000,3,5,0,0,5,0,0,0,0,0,0,0
commons-math,160,2014-10-09T15:14:12.000000,2020-12-21T15:09:48.000000,2018-02-15T10:05:50.000000,81,39,17,1,21,0,8,17,0,0,0,0
commons-net,66,2014-04-16T12:44:20.000000,2020-12-24T06:40:45.000000,2018-10-05T19:36:40.000000,33,23,0,0,23,0,0,0,0,0,0,0
commons-rdf,56,2015-03-28T10:59:29.000000,2020-12-31T08:44:33.000000,2018-06-16T21:49:37.000000,52,37,37,0,1,1,21,25,3,4,1,3
giraph,146,2013-08-15T14:58:34.000000,2020-12-18T20:51:10.000000,2018-11-09T19:42:35.000000,93,0,0,0,0,0,0,0,0,0,0,0
ant-ivy,81,2014-09-24T08:28:15.000000,2020-04-05T10:26:16.000000,2018-02-09T03:47:56.000000,68,28,27,0,1,0,20,23,2,2,0,0
commons-io,180,2013-10-09T20:08:10.000000,2021-01-04T10:56:27.000000,2018-11-03T04:21:18.000000,68,77,4,0,73,0,3,4,0,0,0,0
commons-vfs,150,2013-09-18T02:24:20.000000,2020-12-21T07:56:45.000000,2018-11-07T18:57:25.000000,42,59,0,0,59,0,0,0,0,0,0,0
deltaspike,112,2014-04-01T11:35:34.000000,2020-11-30T19:37:36.000000,2018-07-26T11:28:33.000000,75,42,20,0,22,0,19,20,0,0,0,0
gora,224,2014-06-05T08:00:18.000000,2020-10-31T21:45:14.000000,2019-04-08T09:13:03.000000,151,182,118,0,64,0,69,106,7,2,2,1
opennlp,389,2014-02-23T18:53:53.000000,2020-12-25T02:37:37.000000,2018-05-22T11:50:53.000000,319,184,79,0,105,0,79,79,0,0,0,0
commons-validator,50,2014-07-10T15:07:27.000000,2021-01-02T07:51:08.000000,2018-10-07T01:19:13.000000,16,17,0,0,17,0,0,0,0,0,0,0
bigtop,695,2014-01-20T17:23:29.000000,2020-12-15T14:37:17.000000,2019-10-16T04:30:24.000000,536,248,30,0,218,0,30,30,0,0,0,0
parquet-mr,829,2014-06-19T17:36:21.000000,2021-01-01T15:02:47.000000,2018-07-09T13:33:03.000000,503,254,0,1,253,0,0,0,0,0,0,0
mahout,409,2014-05-23T19:18:13.000000,2020-10-30T17:47:35.000000,2018-06-06T15:11:38.000000,356,65,26,1,38,0,20,23,1,1,0,1
nutch,546,2012-09-08T19:34:55.000000,2020-12-20T16:40:51.000000,2018-07-11T10:38:14.000000,364,366,197,0,169,0,131,186,6,4,1,0
lens,36,2014-11-17T11:11:07.000000,2019-11-05T06:42:13.000000,2018-08-13T09:23:14.000000,27,5,0,0,5,0,0,0,0,0,0,0
